Hey man what are you up to today, I was thinking about heading down to the park if the weather holds up.
Yeah that sounds like a great idea, I have been stuck inside all week and could really use some fresh air and a chance to walk around.
Did you see the game last night, it was absolutely insane in the final quarter when they came back from like fifteen points down.
I know right I was watching it with my roommate and we were both going crazy, I did not think they were going to pull it off at all.
What do you want to do for food tonight, I was thinking maybe we could try that new place that opened up on fifth street last month.
I heard that place is really good actually, my coworker went there last week and said the burgers were some of the best she had ever tried.
Are you doing anything this weekend, I was thinking about maybe going hiking if I can find a good trail that is not too far from here.
That sounds awesome I have not been hiking in forever, last time I went was probably back in the spring when we did that trail by the river.
How is work going for you lately, I feel like I have been absolutely swamped with projects and deadlines and it is starting to wear me down a bit.
Work has been pretty intense for me too honestly, we have a big presentation coming up next week and I have been staying late almost every night to prepare for it.
Do you want to come over and watch a movie tonight, I just got a new television and I have been looking for an excuse to properly break it in.
Yeah I would love that, I have been wanting to watch something good for a while now but I can never decide what to put on when I am by myself.
What kind of music have you been listening to lately, I have been going through a huge phase where I just want to listen to old stuff from like the nineties.
Oh that is interesting I have actually been doing the same thing, there is something about that era of music that just feels really genuine and raw compared to a lot of what comes out now.
I have been thinking about picking up a new hobby, maybe something creative like painting or learning an instrument because I feel like I spend too much time just scrolling on my phone.
That is actually a really good idea, I started learning guitar about six months ago and it has been one of the best decisions I have made in a long time honestly.
Have you heard anything about that new show everyone keeps talking about, I keep seeing it pop up on social media but I have not had a chance to actually sit down and watch it yet.
I watched the first three episodes last weekend and I have to say it is genuinely really good, the writing is sharp and the characters are interesting enough that I actually care what happens to them.
What are your plans for the holidays this year, are you going back home to see your family or are you thinking about doing something different this time around.
I am probably going to head back home for a few days at least, my mom has already started sending me messages about it and I know she would be really disappointed if I did not show up.
